City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,maraa,-1.8333,-65.3667,71.55,96,92,1.21,BR,1612167828
195,queanbeyan,-35.35,149.2333,64.99,94,40,5.75,AU,1612167828
196,dandong,40.1292,124.3947,18.48,83,0,19.73,CN,1612167828
197,comodoro rivadavia,-45.8667,-67.5,68.0,42,0,19.57,AR,1612167829
198,puerto del rosario,28.5004,-13.8627,64.4,77,0,18.41,ES,1612167829
199,kitimat,54.0524,-128.6534,28.4,86,90,5.75,CA,1612167829
200,ojinaga,29.5667,-104.4167,51.8,40,1,3.44,MX,1612167545
201,misasi,-3.0,33.0833,75.2,78,40,5.75,TZ,1612167829
202,kamaishi,39.2667,141.8833,33.8,75,90,2.3,JP,1612167829
203,mashhad,36.297,59.6062,57.2,26,0,6.91,IR,1612167829
204,raudeberg,61.9875,5.1352,28.99,83,1,12.17,NO,1612167829
205,fortuna,40.5982,-124.1573,55.0,76,75,21.85,US,1612167830
206,axim,4.8699,-2.2405,80.82,82,0,4.88,GH,1612167830
207,kendari,-3.945,122.4989,85.5,69,71,1.92,ID,1612167830
208,isla vista,34.4133,-119.861,59.0,82,1,2.93,US,1612167830
209,matata,-37.8833,176.75,61.36,71,0,3.98,NZ,1612167830
210,thompson,55.7435,-97.8558,8.6,85,90,1.19,CA,1612167830
211,rocha,-34.4833,-54.3333,66.49,90,99,7.49,UY,1612167548
212,palmital,-22.7889,-50.2175,69.67,91,100,2.3,BR,1612167830
213,port macquarie,-31.4333,152.9167,75.0,67,0,1.01,AU,1612167831
214,bakchar,57.0186,82.0711,4.55,88,0,1.01,RU,1612167831
215,cherskiy,68.75,161.3,0.82,93,100,6.22,RU,1612167831
216,norrtalje,59.758,18.705,21.99,85,0,4.61,SE,1612167831
217,van,38.4924,43.3831,41.0,60,40,3.44,TR,1612167831
218,zhezkazgan,47.8043,67.7144,27.05,96,52,1.88,KZ,1612167831
219,guilin,25.2819,110.2864,66.2,68,90,4.47,CN,1612167831
220,dahuk,36.8695,42.994,48.67,54,11,1.95,IQ,1612167831
221,maniitsoq,65.4167,-52.9,14.52,93,100,10.83,GL,1612167832
222,jagdalpur,19.0667,82.0333,82.06,15,1,6.76,IN,1612167832
223,ouro fino,-22.2831,-46.3692,66.83,88,100,3.76,BR,1612167832
224,daloa,6.8774,-6.4502,74.59,87,88,4.03,CI,1612167832
225,narsaq,60.9167,-46.05,32.0,51,90,5.75,GL,1612167832
226,scarborough,54.2797,-0.4044,37.99,78,89,3.0,GB,1612167662
227,chokurdakh,70.6333,147.9167,-15.65,88,100,11.07,RU,1612167832
228,presidencia roque saenz pena,-26.7852,-60.4388,71.01,95,76,4.0,AR,1612167832
229,noumea,-22.2763,166.4572,77.0,69,0,13.8,NC,1612167832
230,otavi,-19.65,17.3333,73.47,49,100,4.9,NA,1612167833
231,pacific grove,36.6177,-121.9166,51.01,87,1,4.61,US,1612167771
232,guerrero negro,27.9769,-114.0611,63.21,54,100,9.64,MX,1612167833
233,padang,-0.9492,100.3543,89.6,66,40,6.91,ID,1612167833
234,greenwood,34.1668,-82.1165,39.0,100,90,3.65,US,1612167815
235,rosario oeste,-14.8361,-56.4275,72.68,91,100,2.46,BR,1612167833
236,debre tabor,11.85,38.0167,68.52,25,0,1.23,ET,1612167833
237,lebanon,36.2081,-86.2911,34.0,93,90,5.75,US,1612167781
238,andenes,69.3143,16.1194,30.2,93,75,31.07,NO,1612167833
239,pangoa,-12.1167,-73.0,66.76,93,95,2.48,PE,1612167833
240,chaplynka,46.3651,33.5403,48.65,63,100,15.32,UA,1612167834
241,akola,20.7333,77.0,84.96,16,0,4.32,IN,1612167834
242,haapiti,-17.5667,-149.8667,78.8,73,75,2.3,PF,1612167834
243,alyangula,-13.8483,136.4192,93.2,55,100,5.75,AU,1612167834
244,hobyo,5.3505,48.5268,80.15,58,45,22.41,SO,1612167834
245,touros,-5.1989,-35.4608,78.8,78,40,9.22,BR,1612167834
246,ilulissat,69.2167,-51.1,8.6,52,90,3.44,GL,1612167834
247,puerto colombia,10.9878,-74.9547,77.0,83,0,4.61,CO,1612167835
248,kirpilskaya,45.377,39.6931,53.01,71,0,11.18,RU,1612167835
249,pombas,17.1503,-25.0201,69.8,78,40,26.46,CV,1612167835
250,vila velha,-20.3297,-40.2925,73.99,88,0,3.44,BR,1612167835
251,newcastle,-32.9272,151.7765,77.0,65,0,12.66,AU,1612167590
252,bend,44.0582,-121.3153,39.99,86,1,8.77,US,1612167667
253,praia da vitoria,38.7333,-27.0667,62.6,94,75,32.44,PT,1612167835
254,soyo,-6.1349,12.3689,84.2,74,75,5.75,AO,1612167835
255,kawalu,-7.3817,108.2082,83.17,73,100,2.13,ID,1612167835
